name,village,skill1,skill2,experience
deep,Aladakatti,construction worker,factory worker,I have been looking for work as a construction worker for a long time now
lalit kumar,Budingod,construction worker,watchman,I am currently a construction worker and have been one since 2010 and I have no job since the pandemic
ramesh singh negi,Budingod,labor,machinery handler,"from year 2010 until recently, I worked as a labor around the village, and I have migrated to a lot of places"
tarun sharma,Budingod,chaukidaar,construction worker,I want to be employed as a chaukidaar since I am out of work
rakesh,Bandakeri,industry worker,labour,I am a industry worker and things have been difficult during pandemic
dal chand,Budingod,watchman,production helper,"I used to work as a watchman and roam around for work, but I cannot anymore"
deepak,Aladakatti,industry worker,mason,"I used to work as a industry worker and roam around for work, but I cannot anymore"
deepak,Budingod,machine operator,guard,I work as a machine operator for many years now
birender mandal,Aladakatti,production helper,guard,I am an old man working around as a production helper since 2010
manoj kumar,Bandakeri,machinery handler,labourer,I used to work in the city as a machinery handler when I started off in 2010 and I am unable to migrate since the pandemic
nikhil,Aladakatti,labour,security,I am a labour and things have been difficult during pandemic
"devender singh s/o shrinath r/o kh. no. 72/1, utsa",Bandakeri,labourer,industry worker,"Since 2010, I worked on many sites as labourer and I am no longer able to work"
bhola sarkar,Aladakatti,labour,security,I want to be employed as a labour since I am out of work
liyakat ali,Budingod,mason,guard,I am a mason and things have been difficult during pandemic
jai prakash kashyap,Bandakeri,factory worker,labour,I am a factory worker and things have been difficult during pandemic
krishan @kishan,Budingod,production helper,warden,I work as a production helper for many years now
rishi kakdia,Aladakatti,watchman,labor,"Since 2010, I worked on many sites as watchman and I am no longer able to work"
rohan,Bandakeri,factory worker,construction worker,I am an old man working around as a factory worker since 2010
sanjeev sharma,Budingod,labourer,chaukidaar,I am an old man working around as a labourer since 2010
ashish,Aladakatti,labourer,industry worker,I am a labourer and things have been difficult during pandemic
rahul,Bandakeri,labour,watchman,I am a labour and things have been difficult during pandemic
ombir singh,Bandakeri,security,industry worker,"Since 2010, I worked on many sites as security and I am no longer able to work"
vishal @ moni,Aladakatti,security,machinery handler,I want to be employed as a security since I am out of work
laxman,Budingod,chaukidaar,industry worker,I am an old man working around as a chaukidaar since 2010
vikash @ mungeri,Budingod,labourer,chaukidaar,I have been looking for work as a labourer for a long time now
sumit,Budingod,production helper,construction worker,I have been looking for work as a production helper for a long time now
azaruddin,Aladakatti,labourer,warden,I have been looking for work as a labourer for a long time now
yogesh,Budingod,production helper,guard,I work as a production helper for many years now
krishan,Budingod,labour,production helper,I am currently a labour and have been one since 2010 and I have no job since the pandemic
kunal @ kannu,Aladakatti,machine operator,mason,I am currently a machine operator and have been one since 2010 and I have no job since the pandemic
som dutt,Aladakatti,machinery handler,guard,"from year 2010 until recently, I worked as a machinery handler around the village, and I have migrated to a lot of places"
najar hussan,Bandakeri,machinery handler,mason,"from year 2010 until recently, I worked as a machinery handler around the village, and I have migrated to a lot of places"
manoj kumar,Aladakatti,factory worker,chaukidaar,"from year 2010 until recently, I worked as a factory worker around the village, and I have migrated to a lot of places"
mushrraf,Bandakeri,machinery handler,chaukidaar,I work as a machinery handler for many years now
sunny,Bandakeri,production helper,labor,"I used to work as a production helper and roam around for work, but I cannot anymore"
sanjay,Bandakeri,factory worker,construction worker,I used to work in the city as a factory worker when I started off in 2010 and I am unable to migrate since the pandemic
vikash,Aladakatti,machine operator,guard,I am an old man working around as a machine operator since 2010
ritu raj kumar,Bandakeri,labour,security,I used to work in the city as a labour when I started off in 2010 and I am unable to migrate since the pandemic
satyender @ kalu,Bandakeri,factory worker,warden,I am an old man working around as a factory worker since 2010
armaan @ suvalin,Budingod,labor,security,I am currently a labor and have been one since 2010 and I have no job since the pandemic
ram kishan,Aladakatti,machinery handler,labor,I work as a machinery handler for many years now
sanni,Budingod,chaukidaar,industry worker,"Since 2010, I worked on many sites as chaukidaar and I am no longer able to work"
supriyal sen,Aladakatti,guard,factory worker,"Since 2010, I worked on many sites as guard and I am no longer able to work"
deepak,Budingod,labourer,watchman,I have been looking for work as a labourer for a long time now
sanjay,Aladakatti,machinery handler,labourer,I work as a machinery handler for many years now
khimanand,Budingod,security,machine operator,I am currently a security and have been one since 2010 and I have no job since the pandemic
abhi,Aladakatti,labor,guard,I am a labor and things have been difficult during pandemic
goldy,Bandakeri,industry worker,guard,I want to be employed as a industry worker since I am out of work
ritik,Budingod,production helper,chaukidaar,"Since 2010, I worked on many sites as production helper and I am no longer able to work"
sagar,Aladakatti,labor,factory worker,I am an old man working around as a labor since 2010
rahul,Budingod,factory worker,mason,I used to work in the city as a factory worker when I started off in 2010 and I am unable to migrate since the pandemic
rupesh,Budingod,labourer,production helper,"I used to work as a labourer and roam around for work, but I cannot anymore"
sandeep kumar,Budingod,production helper,watchman,"from year 2010 until recently, I worked as a production helper around the village, and I have migrated to a lot of places"
sumit,Aladakatti,labour,machinery handler,"Since 2010, I worked on many sites as labour and I am no longer able to work"
vijay,Aladakatti,production helper,mason,"I used to work as a production helper and roam around for work, but I cannot anymore"
rohit,Aladakatti,labour,machinery handler,I am currently a labour and have been one since 2010 and I have no job since the pandemic
ishwar,Budingod,industry worker,chaukidaar,"Since 2010, I worked on many sites as industry worker and I am no longer able to work"
deepak kumar mishra,Budingod,chaukidaar,industry worker,I work as a chaukidaar for many years now
rakesh kumar,Budingod,chaukidaar,industry worker,I work as a chaukidaar for many years now
gurmit singh,Aladakatti,labor,factory worker,I am currently a labor and have been one since 2010 and I have no job since the pandemic
sanjeev,Aladakatti,industry worker,chaukidaar,I want to be employed as a industry worker since I am out of work
narender,Bandakeri,labour,guard,I have been looking for work as a labour for a long time now
ram kumar,Aladakatti,machinery handler,labourer,I work as a machinery handler for many years now
saurabh,Budingod,labour,factory worker,"Since 2010, I worked on many sites as labour and I am no longer able to work"
rohit,Aladakatti,warden,machine operator,"from year 2010 until recently, I worked as a warden around the village, and I have migrated to a lot of places"
devraj,Budingod,labourer,machine operator,"Since 2010, I worked on many sites as labourer and I am no longer able to work"
ziyabul,Bandakeri,labor,security,I am a labor and things have been difficult during pandemic
rashid,Aladakatti,mason,watchman,"from year 2010 until recently, I worked as a mason around the village, and I have migrated to a lot of places"
shanwaz anwar,Budingod,guard,mason,"Since 2010, I worked on many sites as guard and I am no longer able to work"
ayush,Bandakeri,mason,factory worker,"Since 2010, I worked on many sites as mason and I am no longer able to work"
rahul,Budingod,production helper,labourer,I have been looking for work as a production helper for a long time now
sapna,Bandakeri,chaukidaar,construction worker,I used to work in the city as a chaukidaar when I started off in 2010 and I am unable to migrate since the pandemic
omprkash,Budingod,mason,factory worker,I am an old man working around as a mason since 2010
vishvash,Aladakatti,chaukidaar,industry worker,I have been looking for work as a chaukidaar for a long time now
raghunandan das,Aladakatti,warden,industry worker,I used to work in the city as a warden when I started off in 2010 and I am unable to migrate since the pandemic
arun @ vicky,Aladakatti,factory worker,guard,"from year 2010 until recently, I worked as a factory worker around the village, and I have migrated to a lot of places"
ravi kumar,Aladakatti,labourer,guard,"from year 2010 until recently, I worked as a labourer around the village, and I have migrated to a lot of places"
parvesh,Aladakatti,chaukidaar,labourer,I want to be employed as a chaukidaar since I am out of work
vikas kumar,Bandakeri,mason,machinery handler,I am an old man working around as a mason since 2010
raja kumar,Budingod,guard,labour,I am an old man working around as a guard since 2010
ramvilash,Aladakatti,security,labour,I am currently a security and have been one since 2010 and I have no job since the pandemic
ayush,Bandakeri,labourer,warden,I am an old man working around as a labourer since 2010
munna @ ravi jaiswal,Bandakeri,machine operator,chaukidaar,I have been looking for work as a machine operator for a long time now
ashu,Bandakeri,construction worker,factory worker,"from year 2010 until recently, I worked as a construction worker around the village, and I have migrated to a lot of places"
mohd shahid,Aladakatti,factory worker,construction worker,"Since 2010, I worked on many sites as factory worker and I am no longer able to work"
indra sain,Bandakeri,machine operator,chaukidaar,I am an old man working around as a machine operator since 2010
brijmohan,Budingod,warden,labour,"Since 2010, I worked on many sites as warden and I am no longer able to work"
arjun yadav,Budingod,labourer,machinery handler,"Since 2010, I worked on many sites as labourer and I am no longer able to work"
abhishek,Budingod,labour,watchman,I am an old man working around as a labour since 2010
kuldeep,Bandakeri,machine operator,watchman,"Since 2010, I worked on many sites as machine operator and I am no longer able to work"
sonia,Aladakatti,security,production helper,I want to be employed as a security since I am out of work
amit,Aladakatti,construction worker,industry worker,I have been looking for work as a construction worker for a long time now
subhash chand bhatia,Aladakatti,machinery handler,mason,"I used to work as a machinery handler and roam around for work, but I cannot anymore"
rahul,Bandakeri,warden,mason,I used to work in the city as a warden when I started off in 2010 and I am unable to migrate since the pandemic
tahir,Bandakeri,factory worker,mason,I am an old man working around as a factory worker since 2010
tarjan,Aladakatti,watchman,production helper,I want to be employed as a watchman since I am out of work
hukum chand,Bandakeri,labour,machine operator,I am an old man working around as a labour since 2010
neeraj kumar,Aladakatti,watchman,labour,"Since 2010, I worked on many sites as watchman and I am no longer able to work"
tikku,Budingod,mason,chaukidaar,I am a mason and things have been difficult during pandemic
vakil,Bandakeri,chaukidaar,construction worker,I am currently a chaukidaar and have been one since 2010 and I have no job since the pandemic
monu kumar,Bandakeri,warden,labor,I work as a warden for many years now
harsh dagar,Aladakatti,machine operator,guard,I am a machine operator and things have been difficult during pandemic
subin sugathan,Budingod,security,labor,I am a security and things have been difficult during pandemic
silender,Aladakatti,watchman,mason,I work as a watchman for many years now
deepak,Bandakeri,production helper,guard,I am currently a production helper and have been one since 2010 and I have no job since the pandemic
bittu paswan,Budingod,factory worker,mason,"Since 2010, I worked on many sites as factory worker and I am no longer able to work"
rahul sharma,Aladakatti,guard,machine operator,I am currently a guard and have been one since 2010 and I have no job since the pandemic
munna lal,Bandakeri,chaukidaar,machinery handler,I used to work in the city as a chaukidaar when I started off in 2010 and I am unable to migrate since the pandemic
raja ram,Bandakeri,chaukidaar,mason,"I used to work as a chaukidaar and roam around for work, but I cannot anymore"
vijay,Budingod,machinery handler,mason,I am currently a machinery handler and have been one since 2010 and I have no job since the pandemic
naveen,Bandakeri,machine operator,mason,I work as a machine operator for many years now
somdath,Bandakeri,mason,guard,"from year 2010 until recently, I worked as a mason around the village, and I have migrated to a lot of places"
akhil kumar,Bandakeri,chaukidaar,machine operator,I am currently a chaukidaar and have been one since 2010 and I have no job since the pandemic
bhavesh dass,Bandakeri,labour,watchman,I work as a labour for many years now
anil kumar,Aladakatti,labourer,chaukidaar,"Since 2010, I worked on many sites as labourer and I am no longer able to work"
deepak,Aladakatti,machinery handler,security,"Since 2010, I worked on many sites as machinery handler and I am no longer able to work"
abhinav vashishat,Budingod,labor,production helper,"I used to work as a labor and roam around for work, but I cannot anymore"
bablu,Bandakeri,labor,security,"Since 2010, I worked on many sites as labor and I am no longer able to work"
mohd imran @ munna,Budingod,watchman,labour,"Since 2010, I worked on many sites as watchman and I am no longer able to work"
aabid,Budingod,watchman,labor,I used to work in the city as a watchman when I started off in 2010 and I am unable to migrate since the pandemic
aman bhatt,Budingod,mason,production helper,I work as a mason for many years now
devender,Bandakeri,security,machinery handler,"from year 2010 until recently, I worked as a security around the village, and I have migrated to a lot of places"
shiv shakti singh,Aladakatti,mason,factory worker,"Since 2010, I worked on many sites as mason and I am no longer able to work"
chander shekhar,Bandakeri,production helper,mason,"from year 2010 until recently, I worked as a production helper around the village, and I have migrated to a lot of places"
dheeraj  @ montu,Budingod,watchman,machinery handler,I used to work in the city as a watchman when I started off in 2010 and I am unable to migrate since the pandemic
aslam ali,Budingod,labour,warden,"I used to work as a labour and roam around for work, but I cannot anymore"
bodh raj @kala,Budingod,labour,industry worker,I am currently a labour and have been one since 2010 and I have no job since the pandemic
rakesh sarkar,Aladakatti,production helper,warden,"I used to work as a production helper and roam around for work, but I cannot anymore"
jitender,Aladakatti,labourer,chaukidaar,"I used to work as a labourer and roam around for work, but I cannot anymore"
anshu,Aladakatti,industry worker,labor,I am a industry worker and things have been difficult during pandemic
aman kumar,Bandakeri,machine operator,watchman,"Since 2010, I worked on many sites as machine operator and I am no longer able to work"
harpal singh,Budingod,chaukidaar,labourer,I work as a chaukidaar for many years now
kasim,Bandakeri,guard,labour,I used to work in the city as a guard when I started off in 2010 and I am unable to migrate since the pandemic
surjeet,Budingod,watchman,factory worker,I am an old man working around as a watchman since 2010
fitrat,Bandakeri,warden,mason,I am a warden and things have been difficult during pandemic
satish kumar,Budingod,factory worker,chaukidaar,I am currently a factory worker and have been one since 2010 and I have no job since the pandemic
vipin,Aladakatti,machinery handler,construction worker,"I used to work as a machinery handler and roam around for work, but I cannot anymore"
baksi,Budingod,chaukidaar,labor,I want to be employed as a chaukidaar since I am out of work
arun kumar,Bandakeri,labor,guard,I am a labor and things have been difficult during pandemic
omparkash,Bandakeri,warden,labour,I am an old man working around as a warden since 2010
kuldeep,Budingod,guard,labor,I am currently a guard and have been one since 2010 and I have no job since the pandemic
neeraj kandari,Bandakeri,labour,industry worker,"from year 2010 until recently, I worked as a labour around the village, and I have migrated to a lot of places"
alok tiwari,Bandakeri,guard,labour,I want to be employed as a guard since I am out of work
surender singh,Budingod,construction worker,industry worker,I work as a construction worker for many years now
prakul,Aladakatti,labourer,security,I am a labourer and things have been difficult during pandemic
pawan,Bandakeri,guard,machinery handler,I have been looking for work as a guard for a long time now
pintu kumar,Aladakatti,machinery handler,security,"I used to work as a machinery handler and roam around for work, but I cannot anymore"
ram niwas,Budingod,industry worker,labour,I am a industry worker and things have been difficult during pandemic
chhotu harijan,Bandakeri,warden,labourer,"Since 2010, I worked on many sites as warden and I am no longer able to work"
deva,Budingod,security,machinery handler,I am an old man working around as a security since 2010
vipol,Aladakatti,chaukidaar,labour,I am an old man working around as a chaukidaar since 2010
amarjeet,Bandakeri,labour,warden,I have been looking for work as a labour for a long time now
kishan,Budingod,machine operator,security,"Since 2010, I worked on many sites as machine operator and I am no longer able to work"
abhijeet,Aladakatti,labor,machine operator,I am a labor and things have been difficult during pandemic
guddu rai,Bandakeri,construction worker,chaukidaar,"from year 2010 until recently, I worked as a construction worker around the village, and I have migrated to a lot of places"
raghuveer,Budingod,machine operator,security,I have been looking for work as a machine operator for a long time now
subham @ vikash,Budingod,guard,machinery handler,I used to work in the city as a guard when I started off in 2010 and I am unable to migrate since the pandemic
gulam rashul,Bandakeri,warden,production helper,I work as a warden for many years now
niranjan,Bandakeri,watchman,machine operator,I am an old man working around as a watchman since 2010
tekchand,Budingod,mason,industry worker,I used to work in the city as a mason when I started off in 2010 and I am unable to migrate since the pandemic
parnav kumar,Bandakeri,labourer,machine operator,"I used to work as a labourer and roam around for work, but I cannot anymore"
sorabh,Budingod,construction worker,industry worker,I used to work in the city as a construction worker when I started off in 2010 and I am unable to migrate since the pandemic
vinod kumar,Budingod,machine operator,mason,I am currently a machine operator and have been one since 2010 and I have no job since the pandemic
sunil,Aladakatti,industry worker,warden,I am an old man working around as a industry worker since 2010
jitender kumar,Aladakatti,security,construction worker,I work as a security for many years now
imamudeen,Aladakatti,labor,factory worker,I am currently a labor and have been one since 2010 and I have no job since the pandemic
santosh pandey,Budingod,guard,factory worker,I want to be employed as a guard since I am out of work
mohammad ali,Aladakatti,warden,labour,I am currently a warden and have been one since 2010 and I have no job since the pandemic
kausal kumar,Aladakatti,chaukidaar,construction worker,I used to work in the city as a chaukidaar when I started off in 2010 and I am unable to migrate since the pandemic
sonu,Budingod,labour,industry worker,I am an old man working around as a labour since 2010
sohan lal,Budingod,labor,security,I have been looking for work as a labor for a long time now
sagar,Budingod,factory worker,labour,"Since 2010, I worked on many sites as factory worker and I am no longer able to work"
sri kant,Budingod,labor,warden,I have been looking for work as a labor for a long time now
vivek chabra,Bandakeri,security,factory worker,I am a security and things have been difficult during pandemic
arjun,Bandakeri,chaukidaar,labour,I am currently a chaukidaar and have been one since 2010 and I have no job since the pandemic
hare chatiyan,Budingod,warden,industry worker,I work as a warden for many years now
laxmi narayan,Bandakeri,warden,industry worker,I am an old man working around as a warden since 2010
ravi chandra natarajan,Bandakeri,industry worker,labourer,"I used to work as a industry worker and roam around for work, but I cannot anymore"
ashok kumar s/o,Aladakatti,machine operator,chaukidaar,I work as a machine operator for many years now
ram singh,Aladakatti,warden,industry worker,I am currently a warden and have been one since 2010 and I have no job since the pandemic
amarjeet,Aladakatti,warden,factory worker,I want to be employed as a warden since I am out of work
brij raj,Bandakeri,factory worker,warden,"from year 2010 until recently, I worked as a factory worker around the village, and I have migrated to a lot of places"
kamla prasad,Budingod,labourer,production helper,"from year 2010 until recently, I worked as a labourer around the village, and I have migrated to a lot of places"
afridi,Bandakeri,machinery handler,warden,I have been looking for work as a machinery handler for a long time now
shabuddin shah,Budingod,machine operator,watchman,I want to be employed as a machine operator since I am out of work
sardar sarbjeet singh,Budingod,chaukidaar,machinery handler,I work as a chaukidaar for many years now
veer,Bandakeri,warden,labourer,I have been looking for work as a warden for a long time now
anand,Bandakeri,watchman,machinery handler,I work as a watchman for many years now
pinkoo @ guddu,Bandakeri,factory worker,mason,I work as a factory worker for many years now
abhishek yadav,Budingod,factory worker,warden,"from year 2010 until recently, I worked as a factory worker around the village, and I have migrated to a lot of places"
shyam,Budingod,factory worker,mason,I am currently a factory worker and have been one since 2010 and I have no job since the pandemic
rizwan,Aladakatti,labourer,machine operator,I am a labourer and things have been difficult during pandemic
sarvesh,Aladakatti,watchman,machinery handler,I want to be employed as a watchman since I am out of work
bhanu pratap singh,Budingod,guard,labour,I work as a guard for many years now
inder dutt,Bandakeri,watchman,machinery handler,I have been looking for work as a watchman for a long time now
dev,Budingod,industry worker,guard,I am currently a industry worker and have been one since 2010 and I have no job since the pandemic
tufail,Bandakeri,construction worker,machine operator,I want to be employed as a construction worker since I am out of work
raman ralhan,Aladakatti,machine operator,guard,I want to be employed as a machine operator since I am out of work
nand kishor,Budingod,labourer,machinery handler,I used to work in the city as a labourer when I started off in 2010 and I am unable to migrate since the pandemic
akshit,Budingod,chaukidaar,production helper,"I used to work as a chaukidaar and roam around for work, but I cannot anymore"
mohd siwam,Budingod,machine operator,chaukidaar,"Since 2010, I worked on many sites as machine operator and I am no longer able to work"
vikash,Aladakatti,factory worker,guard,I work as a factory worker for many years now
rishi,Aladakatti,production helper,warden,"from year 2010 until recently, I worked as a production helper around the village, and I have migrated to a lot of places"
avdhesh,Bandakeri,labourer,watchman,I have been looking for work as a labourer for a long time now
rupesh rathor,Bandakeri,mason,factory worker,I used to work in the city as a mason when I started off in 2010 and I am unable to migrate since the pandemic
veer bhan singh,Aladakatti,machinery handler,mason,I have been looking for work as a machinery handler for a long time now
mayur agarwal,Budingod,machine operator,labour,I used to work in the city as a machine operator when I started off in 2010 and I am unable to migrate since the pandemic
monu,Bandakeri,labor,factory worker,I have been looking for work as a labor for a long time now
pritam singh,Aladakatti,watchman,labor,I used to work in the city as a watchman when I started off in 2010 and I am unable to migrate since the pandemic
uma shankar,Budingod,security,construction worker,I am currently a security and have been one since 2010 and I have no job since the pandemic
deepak rathore,Budingod,guard,machinery handler,"Since 2010, I worked on many sites as guard and I am no longer able to work"
chain singh @ ravi,Budingod,security,production helper,I am an old man working around as a security since 2010
surender,Budingod,factory worker,labor,I work as a factory worker for many years now
ravi,Bandakeri,construction worker,guard,I want to be employed as a construction worker since I am out of work
shankarlal s/o sukharam,Budingod,construction worker,chaukidaar,I used to work in the city as a construction worker when I started off in 2010 and I am unable to migrate since the pandemic
radheshyam sen,Bandakeri,industry worker,security,"Since 2010, I worked on many sites as industry worker and I am no longer able to work"
haseen ahmed,Bandakeri,machinery handler,labour,"from year 2010 until recently, I worked as a machinery handler around the village, and I have migrated to a lot of places"
jony,Aladakatti,mason,warden,"I used to work as a mason and roam around for work, but I cannot anymore"
naval kishore,Aladakatti,machine operator,chaukidaar,"Since 2010, I worked on many sites as machine operator and I am no longer able to work"
tausin,Bandakeri,factory worker,guard,I am an old man working around as a factory worker since 2010
deepak,Budingod,guard,factory worker,I have been looking for work as a guard for a long time now
harish chand,Bandakeri,machine operator,construction worker,I am an old man working around as a machine operator since 2010
sachin kumar,Bandakeri,labor,chaukidaar,"I used to work as a labor and roam around for work, but I cannot anymore"
ramesh kumar,Budingod,labour,watchman,I have been looking for work as a labour for a long time now
amrudin,Bandakeri,labor,production helper,"from year 2010 until recently, I worked as a labor around the village, and I have migrated to a lot of places"
narayan parsad bhushal,Bandakeri,guard,factory worker,"from year 2010 until recently, I worked as a guard around the village, and I have migrated to a lot of places"
jitender rajak,Bandakeri,mason,industry worker,I am currently a mason and have been one since 2010 and I have no job since the pandemic
sagar @ takla,Budingod,guard,industry worker,I am a guard and things have been difficult during pandemic
rajeev jha,Bandakeri,factory worker,chaukidaar,I used to work in the city as a factory worker when I started off in 2010 and I am unable to migrate since the pandemic
kuldeep singh,Aladakatti,chaukidaar,mason,"I used to work as a chaukidaar and roam around for work, but I cannot anymore"
mohd khairul,Aladakatti,production helper,security,I am currently a production helper and have been one since 2010 and I have no job since the pandemic
nitin,Aladakatti,guard,machine operator,I have been looking for work as a guard for a long time now
phirdos alam,Budingod,construction worker,chaukidaar,"from year 2010 until recently, I worked as a construction worker around the village, and I have migrated to a lot of places"
sevak @ pitambar lal,Aladakatti,chaukidaar,machine operator,I work as a chaukidaar for many years now
deepak,Budingod,labour,security,"from year 2010 until recently, I worked as a labour around the village, and I have migrated to a lot of places"
neeraj kumar,Bandakeri,mason,industry worker,I am an old man working around as a mason since 2010
vasim,Bandakeri,industry worker,construction worker,I am an old man working around as a industry worker since 2010
aman soni @ badal,Aladakatti,security,factory worker,I am a security and things have been difficult during pandemic
krishan,Aladakatti,construction worker,machine operator,I work as a construction worker for many years now
harish chand,Bandakeri,labor,machinery handler,"I used to work as a labor and roam around for work, but I cannot anymore"
amardeep,Aladakatti,watchman,construction worker,I am a watchman and things have been difficult during pandemic
sarthak dadwal,Budingod,labor,factory worker,I am currently a labor and have been one since 2010 and I have no job since the pandemic
raman ralhan,Aladakatti,guard,labourer,I work as a guard for many years now
sajan,Aladakatti,industry worker,guard,"from year 2010 until recently, I worked as a industry worker around the village, and I have migrated to a lot of places"
suraj,Bandakeri,chaukidaar,labor,"Since 2010, I worked on many sites as chaukidaar and I am no longer able to work"
nitin parkash,Budingod,production helper,security,"Since 2010, I worked on many sites as production helper and I am no longer able to work"
vinod,Budingod,labour,watchman,I used to work in the city as a labour when I started off in 2010 and I am unable to migrate since the pandemic
anil kumar,Budingod,watchman,labor,I am an old man working around as a watchman since 2010
vikram dubey,Bandakeri,factory worker,watchman,"Since 2010, I worked on many sites as factory worker and I am no longer able to work"
sushant,Bandakeri,mason,machine operator,I am an old man working around as a mason since 2010
aakash,Budingod,factory worker,security,"Since 2010, I worked on many sites as factory worker and I am no longer able to work"
dheeraj singh,Budingod,factory worker,guard,"from year 2010 until recently, I worked as a factory worker around the village, and I have migrated to a lot of places"
aarif,Budingod,mason,industry worker,I work as a mason for many years now
ram niwas,Bandakeri,chaukidaar,labour,I am an old man working around as a chaukidaar since 2010
puneet jain,Bandakeri,watchman,factory worker,I used to work in the city as a watchman when I started off in 2010 and I am unable to migrate since the pandemic
sahil,Aladakatti,production helper,chaukidaar,"Since 2010, I worked on many sites as production helper and I am no longer able to work"
,Aladakatti,industry worker,security,"Since 2010, I worked on many sites as industry worker and I am no longer able to work"
ramsem,Budingod,watchman,labor,"from year 2010 until recently, I worked as a watchman around the village, and I have migrated to a lot of places"
manish,Bandakeri,guard,machine operator,I am an old man working around as a guard since 2010
axat,Aladakatti,machine operator,labour,"I used to work as a machine operator and roam around for work, but I cannot anymore"
shekher,Budingod,machine operator,warden,I am a machine operator and things have been difficult during pandemic
ram naresh yadav,Budingod,labour,security,I want to be employed as a labour since I am out of work
satpal,Aladakatti,construction worker,watchman,I am currently a construction worker and have been one since 2010 and I have no job since the pandemic
dipendra kumar,Aladakatti,production helper,labourer,I used to work in the city as a production helper when I started off in 2010 and I am unable to migrate since the pandemic
rohit kumar,Aladakatti,construction worker,guard,I am currently a construction worker and have been one since 2010 and I have no job since the pandemic
virender,Aladakatti,factory worker,warden,I work as a factory worker for many years now
arjun singh,Budingod,machine operator,labour,"from year 2010 until recently, I worked as a machine operator around the village, and I have migrated to a lot of places"
mohit chauhan,Budingod,guard,construction worker,I want to be employed as a guard since I am out of work
mukesh,Bandakeri,production helper,chaukidaar,"I used to work as a production helper and roam around for work, but I cannot anymore"
gurmit singh,Aladakatti,labor,factory worker,I used to work in the city as a labor when I started off in 2010 and I am unable to migrate since the pandemic
kuldeep singh,Aladakatti,warden,machinery handler,I am a warden and things have been difficult during pandemic
udham,Bandakeri,factory worker,construction worker,"Since 2010, I worked on many sites as factory worker and I am no longer able to work"
bobby,Budingod,factory worker,warden,"from year 2010 until recently, I worked as a factory worker around the village, and I have migrated to a lot of places"
damanjeet singh,Budingod,labor,machinery handler,"from year 2010 until recently, I worked as a labor around the village, and I have migrated to a lot of places"
vijay kumar,Bandakeri,construction worker,machinery handler,I want to be employed as a construction worker since I am out of work
milan,Budingod,mason,watchman,"I used to work as a mason and roam around for work, but I cannot anymore"
pramod,Budingod,machine operator,labor,I used to work in the city as a machine operator when I started off in 2010 and I am unable to migrate since the pandemic
toquir ali,Budingod,machinery handler,security,I have been looking for work as a machinery handler for a long time now
pramood,Budingod,chaukidaar,labour,"from year 2010 until recently, I worked as a chaukidaar around the village, and I have migrated to a lot of places"
shiv kumar,Aladakatti,labour,factory worker,I am a labour and things have been difficult during pandemic
rohit,Aladakatti,production helper,security,I have been looking for work as a production helper for a long time now
sachin,Bandakeri,industry worker,watchman,I am a industry worker and things have been difficult during pandemic
babloo,Bandakeri,labor,guard,I want to be employed as a labor since I am out of work
dinesh singh rana,Bandakeri,security,industry worker,"I used to work as a security and roam around for work, but I cannot anymore"
ramesh,Bandakeri,labourer,security,"from year 2010 until recently, I worked as a labourer around the village, and I have migrated to a lot of places"
rampati,Budingod,machinery handler,labor,I am a machinery handler and things have been difficult during pandemic
ram ji,Aladakatti,mason,chaukidaar,I want to be employed as a mason since I am out of work
ram kishan,Budingod,production helper,labourer,"from year 2010 until recently, I worked as a production helper around the village, and I have migrated to a lot of places"
barjraj,Aladakatti,mason,machinery handler,I have been looking for work as a mason for a long time now
pradeep,Bandakeri,machinery handler,security,"from year 2010 until recently, I worked as a machinery handler around the village, and I have migrated to a lot of places"
jagdish,Aladakatti,security,machine operator,I work as a security for many years now
pankaj,Budingod,watchman,labourer,I want to be employed as a watchman since I am out of work
samir mishra,Bandakeri,warden,industry worker,I am a warden and things have been difficult during pandemic
deepak,Bandakeri,construction worker,machine operator,I work as a construction worker for many years now
riyasat ali,Aladakatti,machinery handler,guard,I used to work in the city as a machinery handler when I started off in 2010 and I am unable to migrate since the pandemic
rakesh bhatia,Budingod,watchman,mason,I am an old man working around as a watchman since 2010
divaraj,Bandakeri,watchman,industry worker,I am an old man working around as a watchman since 2010
nadim,Budingod,construction worker,machine operator,"Since 2010, I worked on many sites as construction worker and I am no longer able to work"
sawan gupta,Bandakeri,factory worker,warden,"I used to work as a factory worker and roam around for work, but I cannot anymore"
himanshu,Aladakatti,mason,watchman,I work as a mason for many years now
suresh kumar,Aladakatti,labour,warden,I am a labour and things have been difficult during pandemic
kishan rai,Aladakatti,warden,industry worker,I am currently a warden and have been one since 2010 and I have no job since the pandemic
jorj vargees,Budingod,machine operator,mason,"Since 2010, I worked on many sites as machine operator and I am no longer able to work"
sadab urf golu,Bandakeri,industry worker,labourer,I have been looking for work as a industry worker for a long time now
md. tavrej,Bandakeri,labour,chaukidaar,I want to be employed as a labour since I am out of work
raghubir singh,Bandakeri,watchman,labor,I want to be employed as a watchman since I am out of work
jockyipai,Budingod,guard,factory worker,I want to be employed as a guard since I am out of work
ajay @ ajju,Budingod,factory worker,warden,I have been looking for work as a factory worker for a long time now
md mustafa,Aladakatti,chaukidaar,machine operator,I am a chaukidaar and things have been difficult during pandemic
